3x3,"Nov 24, 2018",3.47,Yusheng Du (杜宇生),China,Wuhu Open 2018
3x3,"May 06, 2018",4.22,Feliks Zemdegs,Australia,Cube for Cambodia 2018
3x3,"Jan 27, 2018",4.59,Feliks Zemdegs,Australia,Hobart Summer 2018
3x3,"Oct 28, 2017",4.59,SeungBeom Cho (조승범),Republic of Korea,ChicaGhosts 2017
3x3,"Sep 02, 2017",4.69,Patrick Ponce,United States,Rally In The Valley 2017
3x3,"Dec 11, 2016",4.73,Feliks Zemdegs,Australia,POPS Open 2016
3x3,"Nov 05, 2016",4.74,Mats Valk,Netherlands,Jawa Timur Open 2016
3x3,"Nov 21, 2015",4.90,Lucas Etter,United States,River Hill Fall 2015
3x3,"Apr 25, 2015",5.25,Collin Burns,United States,Doylestown Spring 2015
3x3,"Mar 02, 2013",5.55,Mats Valk,Netherlands,Zonhoven Open 2013
3x3,"Jun 25, 2011",5.66,Feliks Zemdegs,Australia,Melbourne Winter Open 2011
3x3,"Jun 25, 2011",6.18,Feliks Zemdegs,Australia,Melbourne Winter Open 2011
3x3,"May 07, 2011",6.24,Feliks Zemdegs,Australia,Kubaroo Open 2011
3x3,"May 07, 2011",6.65,Feliks Zemdegs,Australia,Kubaroo Open 2011
3x3,"Jan 29, 2011",6.65,Feliks Zemdegs,Australia,Melbourne Summer Open 2011
3x3,"Nov 13, 2010",6.77,Feliks Zemdegs,Australia,Melbourne Cube Day 2010
3x3,"Nov 13, 2010",7.03,Feliks Zemdegs,Australia,Melbourne Cube Day 2010
3x3,"Jul 12, 2008",7.08,Erik Akkersdijk,Netherlands,Czech Open 2008
3x3,"May 05, 2008",8.72,Yu Nakajima (中島悠),Japan,Kashiwa Open 2008
3x3,"May 05, 2008",8.72,Yu Nakajima (中島悠),Japan,Kashiwa Open 2008
3x3,"Feb 23, 2008",9.18,Edouard Chambon,France,Murcia Open 2008
3x3,"Nov 24, 2007",9.55,Ron van Bruchem,Netherlands,Dutch Championship 2007
3x3,"Oct 13, 2007",9.77,Erik Akkersdijk,Netherlands,Dutch Open 2007
3x3,"May 05, 2007",9.86,Thibaut Jacquinot,France,Spanish Open 2007
3x3,"Feb 24, 2007",10.36,Edouard Chambon,France,Belgian Open 2007
3x3,"Aug 04, 2006",10.48,Toby Mao (毛台立),United States,US Nationals 2006
3x3,"Jan 14, 2006",11.13,Leyan Lo,United States,Caltech Winter competition 2006
3x3,"Oct 16, 2005",11.75,Jean Pons,France,Dutch Open 2005
3x3,"Apr 03, 2004",12.11,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2004
3x3,"Apr 03, 2004",13.93,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2004
3x3,"Jan 24, 2004",14.76,Shotaro Makisumi (牧角章太郎),Japan,Caltech Winter competition 2004
3x3,"Jan 24, 2004",15.07,Shotaro Makisumi (牧角章太郎),Japan,Caltech Winter competition 2004
3x3,"Aug 23, 2003",16.53,Jess Bonde,Denmark,World Rubik's Games Championship 2003
3x3,"Aug 23, 2003",16.71,Dan Knights,United States,World Rubik's Games Championship 2003
3x3,"Jun 05, 1982",22.95,Minh Thai,United States,World Rubik's Cube Championship 1982
2x2,"Mar 19, 2016",0.49,Maciej Czapiewski,Poland,Grudziądz Open 2016
2x2,"Jun 06, 2015",0.58,Rami Sbahi,United States,Canadian Open 2015
2x2,"Nov 12, 2011",0.69,Christian Kaserer,Italy,Trentin Open 2011
2x2,"Feb 12, 2011",0.96,Vincent Sheu,United States,Berkeley Winter 2011
2x2,"Aug 06, 2010",0.96,Rowe Hessler,United States,United States Rubik's Cube Championships 2010
2x2,"Nov 08, 2008",0.96,Erik Akkersdijk,Netherlands,Geneva Open 2008
2x2,"Feb 23, 2008",1.63,Javier París,Spain,Murcia Open 2008
2x2,"Nov 10, 2007",2.65,Ron van Bruchem,Netherlands,UK Open 2007
2x2,"Jul 14, 2007",2.73,Mátyás Kuti,Hungary,Czech Open 2007
2x2,"Apr 28, 2007",3.55,Mátyás Kuti,Hungary,German Open 2007
2x2,"May 27, 2006",3.55,Anthony Hsu,United States,Trumbull Spring competition 2006
2x2,"Dec 11, 2005",3.94,Gunnar Krig,Sweden,Swedish Cube Day competition 2005
2x2,"May 28, 2005",4.13,Shotaro Makisumi (牧角章太郎),Japan,Horace Mann Spring competition 2005
2x2,"Apr 16, 2005",4.92,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2005
2x2,"Mar 27, 2005",6.35,Gunnar Krig,Sweden,SveKub Annual Meeting competition 2005
2x2,"Nov 27, 2004",8.44,Micael Hellberg,Sweden,Swedish Cube Day competition 2004
4x4,"Sep 13, 2019",17.42,Sebastian Weyer,Germany,Danish Open 2019
4x4,"Aug 02, 2019",18.25,Sebastian Weyer,Germany,German Nationals 2019
4x4,"May 27, 2018",18.42,Max Park,United States,SacCubing IV 2018
4x4,"Apr 21, 2018",18.84,Sebastian Weyer,Germany,German Open 2018
4x4,"Jun 22, 2017",19.36,Feliks Zemdegs,Australia,Latin America Cubing Tour - Arequipa 2017
4x4,"Jun 10, 2017",19.41,Sebastian Weyer,Germany,Berlin Summer Cube Days 2017
4x4,"Oct 02, 2015",21.54,Feliks Zemdegs,Australia,China Championship 2015
4x4,"Aug 08, 2014",21.97,Sebastian Weyer,Germany,Rubik's Cube European Championships 2014
4x4,"Apr 18, 2014",24.33,Sebastian Weyer,Germany,Velbert Easter Open 2014
4x4,"Jan 11, 2014",24.66,Feliks Zemdegs,Australia,Lifestyle Seasons Summer 2014
4x4,"Jan 03, 2014",24.67,Sebastian Weyer,Germany,Duisburg Winter 2014
4x4,"Jun 08, 2013",25.34,Feliks Zemdegs,Australia,Shepparton Winter 2013
4x4,"Feb 16, 2013",26.44,Sebastian Weyer,Germany,Velbert Open 2013
4x4,"Sep 01, 2012",26.75,Feliks Zemdegs,Australia,Australian Nationals 2012
4x4,"Apr 14, 2012",26.77,Mats Valk,Netherlands,German Open 2012
4x4,"Dec 17, 2011",30.02,Mats Valk,Netherlands,Dutch Nationals 2011
4x4,"Aug 27, 2011",30.28,Feliks Zemdegs,Australia,Australian Nationals 2011
4x4,"Jun 25, 2011",30.88,Feliks Zemdegs,Australia,Melbourne Winter Open 2011
4x4,"May 07, 2011",31.05,Feliks Zemdegs,Australia,Kubaroo Open 2011
4x4,"Apr 30, 2011",31.66,Sebastian Weyer,Germany,Hamburg Open 2011
4x4,"Nov 13, 2010",31.97,Feliks Zemdegs,Australia,Melbourne Cube Day 2010
4x4,"Oct 09, 2010",34.41,Feliks Zemdegs,Australia,Asian Championship 2010
4x4,"Oct 09, 2010",34.72,Feliks Zemdegs,Australia,Asian Championship 2010
4x4,"Jul 11, 2010",35.40,Haixu Zhang (张海旭),China,Guangzhou Big Cubes Competition 2010
4x4,"Jul 10, 2010",35.55,Feliks Zemdegs,Australia,New Zealand Championships 2010
4x4,"Oct 09, 2009",36.46,Dan Cohen,United States,World Rubik's Cube Championship 2009
4x4,"Aug 01, 2009",39.28,Shuhei Omura (大村周平),Japan,Japan Open 2009
4x4,"Apr 25, 2009",39.83,Erik Akkersdijk,Netherlands,German Open 2009
4x4,"Jan 10, 2009",40.05,Erik Akkersdijk,Netherlands,Aachen Open 2009
4x4,"Oct 04, 2008",41.16,Yumu Tabuchi (田渕雄夢),Japan,Japan Open 2008
4x4,"Sep 06, 2008",41.31,Erik Akkersdijk,Netherlands,Brussels Summer Open 2008
4x4,"Aug 23, 2008",43.72,Erik Akkersdijk,Netherlands,Dutch Masters 2008
4x4,"Aug 02, 2008",45.15,Keisuke Hiraya (平谷啓輔),Japan,Tokyo Open 2008
4x4,"Jun 14, 2008",46.03,Dan Cohen,United States,Da Vinci Science Center competition 2008
4x4,"Nov 10, 2007",46.63,Mátyás Kuti,Hungary,UK Open 2007
4x4,"Oct 14, 2006",51.16,Michael Fung,Netherlands,Dutch Open 2006
4x4,"Nov 05, 2005",54.13,Yuki Hayashi (林祐樹),Japan,Rubik's World Championship 2005
4x4,"Aug 13, 2005",55.38,Chris Hardwick,United States,Caltech Dallas Summer competition 2005
4x4,"Jul 10, 2005",1:00.38,Yuki Hayashi (林祐樹),Japan,Kyoto Rubik's Cube contest 2005
4x4,"Apr 22, 2005",1:01.52,Frédérick Badie,France,French Championship 2005
4x4,"Jan 15, 2005",1:08.12,Frank Morris,United States,Caltech Winter competition 2005
4x4,"Aug 07, 2004",1:09.11,Lars Vandenbergh,Belgium,European Rubik's Games Championship 2004
4x4,"Aug 07, 2004",1:12.49,Frédérick Badie,France,European Rubik's Games Championship 2004
4x4,"Jul 10, 2004",1:12.85,Chris Hardwick,United States,US Nationals 2004
4x4,"Aug 23, 2003",1:20.16,Masayuki Akimoto (秋元正行),Japan,World Rubik's Games Championship 2003
5x5,"Jan 25, 2020",34.92,Max Park,United States,Houston Winter 2020
5x5,"Jun 22, 2019",36.06,Max Park,United States,CubingUSA Western Championship 2019
5x5,"May 27, 2018",37.28,Max Park,United States,SacCubing IV 2018
5x5,"Apr 21, 2018",37.93,Feliks Zemdegs,Australia,Canberra Autumn 2018
5x5,"Jul 13, 2017",38.52,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2017
5x5,"Jun 28, 2017",41.24,Feliks Zemdegs,Australia,Latin America Cubing Tour - Chía 2017
5x5,"Nov 05, 2016",41.27,Feliks Zemdegs,Australia,Melbourne Cube Days 2016
5x5,"Mar 19, 2016",44.83,Feliks Zemdegs,Australia,Cubing Classic 2016
5x5,"Nov 07, 2015",46.97,Feliks Zemdegs,Australia,Melbourne Cube Days 2015
5x5,"Oct 02, 2015",47.25,Feliks Zemdegs,Australia,China Championship 2015
5x5,"Aug 01, 2014",48.42,Feliks Zemdegs,Australia,US Nationals 2014
5x5,"Sep 07, 2013",50.50,Feliks Zemdegs,Australia,Australian Nationals 2013
5x5,"Sep 01, 2012",51.09,Feliks Zemdegs,Australia,Australian Nationals 2012
5x5,"Sep 01, 2012",51.31,Feliks Zemdegs,Australia,Australian Nationals 2012
5x5,"Aug 11, 2012",52.65,Kristopher De Asis,Canada,Vancouver Open Summer 2012
5x5,"Apr 08, 2012",54.86,Yu Nakajima (中島悠),Japan,Matsudo Spring 2012
5x5,"Oct 14, 2011",56.22,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2011
5x5,"Oct 14, 2011",59.27,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2011
5x5,"Aug 27, 2011",1:00.27,Feliks Zemdegs,Australia,Australian Nationals 2011
5x5,"Jan 29, 2011",1:01.59,Feliks Zemdegs,Australia,Melbourne Summer Open 2011
5x5,"Sep 04, 2010",1:02.93,Feliks Zemdegs,Australia,Australian Nationals 2010
5x5,"Aug 06, 2010",1:04.33,Dan Cohen,United States,United States Rubik's Cube Championships 2010
5x5,"Jul 24, 2010",1:06.93,Shuhei Omura (大村周平),Japan,30th Anniversary MegaHouse Cup 2010
5x5,"Jul 26, 2009",1:07.25,Dan Cohen,United States,Big Cubes Summer competition 2009
5x5,"Jul 17, 2009",1:11.02,Erik Akkersdijk,Netherlands,Czech Open 2009
5x5,"Apr 04, 2009",1:13.22,Erik Akkersdijk,Netherlands,Danish Open 2009
5x5,"Feb 08, 2009",1:13.28,Hsuan Chang (張璿),Taiwan,Taiwan Winter Open 2009
5x5,"Oct 11, 2008",1:16.21,Erik Akkersdijk,Netherlands,Danish Cube Day 2008
5x5,"Sep 19, 2008",1:18.59,Erik Akkersdijk,Netherlands,European Championship 2008
5x5,"Jul 19, 2008",1:20.98,Dan Cohen,United States,US Nationals and Open 2008
5x5,"Apr 05, 2008",1:23.83,Erik Akkersdijk,Netherlands,Madrid Open 2008
5x5,"Mar 29, 2008",1:27.43,Takayuki Ookusa (大艸尊之),Japan,Osaka Open 2008
5x5,"Feb 02, 2008",1:28.66,Erik Akkersdijk,Netherlands,Belgian Open 2008
5x5,"Dec 15, 2007",1:30.03,Erik Akkersdijk,Netherlands,Swedish Cube Day competition 2007
5x5,"Nov 10, 2007",1:30.58,Mátyás Kuti,Hungary,UK Open 2007
5x5,"Jul 28, 2007",1:38.78,Takayuki Ookusa (大艸尊之),Japan,Japan Open 2007
5x5,"Feb 24, 2007",1:44.47,Frédérick Badie,France,Belgian Open 2007
5x5,"Oct 21, 2006",1:46.28,Frank Morris,United States,G-Wiz Fall competition 2006
5x5,"May 06, 2006",1:47.22,Ron van Bruchem,Netherlands,Belgian Open 2006
5x5,"Aug 13, 2005",1:51.41,Frank Morris,United States,Caltech Dallas Summer competition 2005
5x5,"Aug 07, 2004",2:08.45,Lars Vandenbergh,Belgium,European Rubik's Games Championship 2004
5x5,"Aug 23, 2003",2:19.69,David Wesley,Sweden,World Rubik's Games Championship 2003
6x6,"Jan 25, 2020",1:09.51,Max Park,United States,Houston Winter 2020
6x6,"Aug 17, 2018",1:13.82,Max Park,United States,WCA Asian Championship 2018
6x6,"May 19, 2018",1:14.86,Max Park,United States,A Bruin Cube Day 2018
6x6,"May 06, 2018",1:19.46,Max Park,United States,Qualifornia 2018
6x6,"Jan 27, 2018",1:19.60,Max Park,United States,SacCubing III 2018
6x6,"Jul 13, 2017",1:20.03,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2017
6x6,"Jul 08, 2017",1:20.37,Feliks Zemdegs,Australia,London Open 2017
6x6,"Jan 21, 2017",1:27.85,Feliks Zemdegs,Australia,Adelaide Summer 2017
6x6,"Dec 17, 2016",1:32.47,Feliks Zemdegs,Australia,Sydney Championship 2016
6x6,"Oct 01, 2016",1:32.77,Kevin Hays,United States,Asian Championship 2016
6x6,"Jun 12, 2015",1:33.55,Kevin Hays,United States,Indiana 2015
6x6,"Aug 03, 2013",1:40.86,Kevin Hays,United States,Vancouver Open Summer 2013
6x6,"May 05, 2012",1:49.46,Kevin Hays,United States,Couve Cubing 2012
6x6,"Dec 10, 2011",1:54.81,Kevin Hays,United States,Vancouver Winter 2011
6x6,"Aug 27, 2011",1:56.96,Feliks Zemdegs,Australia,Australian Nationals 2011
6x6,"Aug 12, 2011",2:02.31,Kevin Hays,United States,United States National Championships 2011
6x6,"Jan 29, 2011",2:05.88,Feliks Zemdegs,Australia,Melbourne Summer Open 2011
6x6,"Oct 23, 2010",2:13.90,Bence Barát,Hungary,V-CUBE Spiel 2010
6x6,"Nov 28, 2009",2:15.53,Michał Halczuk,Poland,Silesia Open 2009
6x6,"Jul 26, 2009",2:18.81,Dan Cohen,United States,Big Cubes Summer competition 2009
6x6,"Mar 28, 2009",2:23.63,Dan Cohen,United States,Ohio Open 2009
6x6,"Feb 21, 2009",2:33.55,Michał Halczuk,Poland,Polish Nationals 2009
6x6,"Feb 07, 2009",2:56.34,Dan Cohen,United States,Newark Winter 2009
6x6,"Feb 07, 2009",3:44.84,Claes Hedin,Sweden,Norrköping Open 2009
7x7,"Aug 01, 2019",1:40.89,Max Park,United States,CubingUSA Nationals 2019
7x7,"Jul 11, 2019",1:44.02,Max Park,United States,WCA World Championship 2019
7x7,"Jul 14, 2018",1:47.89,Max Park,United States,West Coast Cubing Tour - Fresno 2018
7x7,"Jun 08, 2018",1:57.76,Kevin Hays,United States,Rose City 2018
7x7,"Apr 14, 2018",1:59.89,Max Park,United States,Cerritos Open 2018
7x7,"Mar 09, 2018",1:59.95,Kevin Hays,United States,CubingUSA Heartland Championship 2018
7x7,"Jul 13, 2017",2:06.73,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2017
7x7,"Jul 08, 2017",2:14.09,Feliks Zemdegs,Australia,London Open 2017
7x7,"May 20, 2017",2:14.55,Wong Kin Lok (黃健樂),Hong Kong,Wuhan NxN Open 2017
7x7,"Mar 18, 2017",2:18.13,Feliks Zemdegs,Australia,Cubing Classic 2017
7x7,"Jul 15, 2016",2:20.66,Feliks Zemdegs,Australia,European Rubik's Cube Championship 2016
7x7,"Jul 17, 2015",2:23.55,Feliks Zemdegs,Australia,World Rubik's Cube Championship 2015
7x7,"May 30, 2015",2:34.64,Michał Halczuk,Poland,Speed Days Kraśnik 2015
7x7,"Mar 13, 2015",2:36.58,Vladislav Shavelskiy,Russia,Moscow Spring Open 2015
7x7,"Oct 04, 2014",2:38.93,Vladislav Shavelskiy,Russia,CCC Autumn Open 2014
7x7,"Mar 02, 2014",2:39.41,Lin Chen (陈霖),China,Shanghai Spring 2014
7x7,"Aug 24, 2013",2:40.11,Bence Barát,Hungary,Austrian Big Cube Open 2013
7x7,"Sep 22, 2012",2:41.63,Lin Chen (陈霖),China,Hangzhou Open 2012
7x7,"Sep 22, 2012",2:54.56,Lin Chen (陈霖),China,Hangzhou Open 2012
7x7,"Jul 29, 2012",3:05.80,Lin Chen (陈霖),China,Qingdao Open 2012
7x7,"Jul 21, 2012",3:10.71,Lin Chen (陈霖),China,Shanghai Summer 2012
7x7,"Mar 10, 2012",3:13.11,Lin Chen (陈霖),China,Hefei Spring 2012
7x7,"Aug 13, 2011",3:13.19,Michał Halczuk,Poland,Polish Nationals 2011
7x7,"Jul 23, 2011",3:17.97,Michał Halczuk,Poland,Swierklany Open 2011
7x7,"Sep 18, 2010",3:25.91,Michał Halczuk,Poland,Pabianice Open 2010
7x7,"Sep 18, 2010",3:28.72,Michał Halczuk,Poland,Pabianice Open 2010
7x7,"Jul 31, 2010",3:33.25,Bence Barát,Hungary,Austrian Open 2010
7x7,"Jul 16, 2010",3:37.38,Bence Barát,Hungary,Czech Open 2010
7x7,"Oct 09, 2009",3:43.15,Michał Halczuk,Poland,World Rubik's Cube Championship 2009
7x7,"Mar 28, 2009",3:47.36,Yu Nakajima (中島悠),Japan,Osaka Open 2009
7x7,"Feb 21, 2009",3:56.06,Michał Halczuk,Poland,Polish Nationals 2009
